objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
16670,2270,"Rua do Centro Cultural, 14",Alvalade,Via,BICICLETA,Sheffield standard,2,4,0,Público,Partilhado com Micromobilidade,22/09/2023,-9.1432366,38.7559112
16671,2271,"Rua do Centro Cultural, 12",Alvalade,Via,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,22/09/2023,-9.1426808,38.7561030
16672,2272,Rua de Campolide,Campolide,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,27/09/2023,-9.1640819,38.7341204
16673,2273,"Rua de Campolide, 223",Campolide,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,27/09/2023,-9.1629639,38.7328530
16674,2274,Rua Marquês de Fronteira,Campolide,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,27/09/2023,-9.1566164,38.7310843
16675,2275,Rua dos Arcos,Campolide,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,27/09/2023,-9.1718421,38.7324186
16676,2276,"Rua B do Bairro da Liberdade, 75",Campolide,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,27/09/2023,-9.1690784,38.7337329
16677,2277,Avenida de Brasília,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,29/09/2023,-9.1572000,38.7052080
16678,2434,Avenida Dr. Augusto de Castro,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1127521,38.7578400
16679,2435,Avenida Francisco Salgado Zenha,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1185146,38.7476967
16680,2436,"Avenida François Mitterrand, 35A",Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1184948,38.7453871
16681,2437,Avenida João Paulo II,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1125273,38.7474082
16682,2438,Avenida João Paulo II,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1130829,38.7463769
16683,2439,Avenida Paulo VI,Marvila,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1113759,38.7432441
16684,2440,Avenida Paulo VI,Marvila,Passeio,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,12/01/2024,-9.1089099,38.7473494
16685,2278,Rua Cascais,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,29/09/2023,-9.1747491,38.7030863
16686,2279,"Avenida Infante Santo, 374",Estrela,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,29/09/2023,-9.1615543,38.7135747
16687,2280,Rua de San'Ana (Santana) à Lapa,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,29/09/2023,-9.1639656,38.7113518
16688,2281,"Avenida Infante Santo, 51",Estrela,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,29/09/2023,-9.1667590,38.7093382
16689,2284,Rua Cascais,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1744284,38.7041038
16690,2285,Avenida Álvares Cabral,Estrela,Passeio,HOTSPOT,Desconhecido,0,8,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1586959,38.7156129
16691,2286,Praça da Estrela,Estrela,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1607728,38.7138460
16692,2287,Rua Presidente Arriaga,Estrela,Passeio,HOTSPOT,Desconhecido,0,5,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1629935,38.7045785
16693,2288,Rua Capitão Afonso Pala,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1714213,38.7072052
16694,2289,"Praça da Armada, Ministério",Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1705026,38.7050543
16695,2290,Praça da Estrela,Estrela,Passeio,HOTSPOT,Desconhecido,0,4,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1606886,38.7134965
16696,2291,Praça São João Bosco,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,11/10/2023,-9.1694106,38.7145790
16697,2292,Rocha Conde de Óbidos,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1623745,38.7030127
16698,2293,"Rua Cascais, 35",Alcântara,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1748388,38.7042033
16699,2294,"Rua Coronel Ribeiro Viana, 13",Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1683711,38.7124955
16700,2295,"Rua da Esperança, 154",Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1559946,38.7078198
16701,2296,"Rua da Esperança, 2",Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1534444,38.7088779
16702,2297,"Rua da Lapa, 74",Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1601399,38.7101806
16703,2298,Rua das Francesinhas,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1545406,38.7108056
16704,2299,Rua das Francesinhas,Estrela,Passeio,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,16/10/2023,-9.1540553,38.7114817
