OBJECTID,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESP,FREGUESIA,COMPRIMENTO,COMP_KM
147414,0487,Rua Almeida e Sousa,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,62.74,0.06274115
147415,0090,Cais Português,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,262.9,0.26290230000000003
147416,0044,Estrada da Circunvalação,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,222.70000000000002,0.22269614000000001
147417,0044,Estrada da Circunvalação,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,235.91,0.23590645000000002
147418,0120,Trilho de Corrida,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,3460.56,3.46056047
147419,0120,Trilho de Corrida,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,255.85,0.25584502
147421,0111,Rua Inácio Pardelhas Sanchez,Bairros 30+Bici - Bairro da Serafina/Liberdade,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campolide,40.11,0.04010541
147423,0167,Ponte Ciclopedonal do Parque hortícola do Vale de Chelas,Corredor Verde Oriental - Parque Urbano do Vale de Chelas - Ponte Ciclopedonal do Parque hortícola e Espaços Exteriores - Av. Santo Condestável ,Complementar,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2016,CML/DMEVAE,Marvila,171.25,0.1712538
147427,0164,Alameda da Encarnação,Zona 30 - Bairro da Encarnação,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,124.02,0.12401734
147431,0683,Praça Baden Powell,Avenida Cidade de Luanda - Fase 2,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Olivais,66.57000000000001,0.06657234000000001
147432,0073,Avenida Almirante Reis,Avenida Almirante Reis - Fase 2,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Areeiro,32.46,0.03245735
147433,0459,Rua Latino Coelho,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,93.7,0.09369811
147434,0459,Rua Viriato,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,215.9,0.21589623
147435,0459,Rua Andrade Corvo,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,87.18,0.08718368
147437,0140,Rua Almeida e Sousa,Bairro de Campo de Ourique - 1ª fase,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,549.28,0.54927742
147438,0140,Rua Luís Derouet,Bairro de Campo de Ourique - 1ª fase,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,196.28,0.19628131000000001
147441,0164,Alameda da Encarnação,Zona 30 - Bairro da Encarnação,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,67.31,0.06730842000000001
147446,0216,Ponte da Belavista,,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2012,CML,Marvila,88.2,0.08819603000000001
147447,0012,Avenida Vinte e Quatro de Julho,Avenida 24 de Julho,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,CML/DMM; CML/DMMC/DIOA,Estrela,1253.93,1.25393011
147453,0044,Estrada da Portela ao Alto da Boavista - Estrada do Calhariz de Benfica,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,527.17,0.52717386
147471,0050,Via do Oriente,Alameda dos Oceanos Norte,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,14.870000000000001,0.01487244
147477,0164,Rua da Portela,Zona 30 - Bairro da Encarnação,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,420.86,0.42085631
147483,0400,Alameda das Linhas de Torres,UPCB - Alameda das Linhas de Torres,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Lumiar,124.78,0.12477971
