objectid,cod_ciclovia,designacao,nome_projeto,hierarquia,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento_m,comp_km
148620,0460,Avenida Prof. Francisco da Gama Caeiro,,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMEVAE,Carnide,359.63,0.35963
148621,0645,Avenida Infante Dom Henrique,Estação Sul e Sueste,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMU/DEP,Santa Maria Maior,130.66,0.13066
148627,0136,Rota da Água,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,366.81,0.36681
148629,0524,Passeio dos Heróis do Mar,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,56.34,0.05634
148634,0290,Rua Infante Dom Pedro,T12 - Rua de Entrecampos/Rua Infante Dom Pedro,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2015,CML/DMEVAE,Alvalade,282.25,0.28225
148657,0068,Avenida de Paris,Avenida de Paris,Principal,Contrassentido,Pista ciclável (separação física),Definitiva,Executado,2019,CML/DMM,Areeiro,104.88,0.10488
148668,0046,Rotunda República Argentina,Alameda dos Oceanos Sul,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,151.49,0.15149
148679,0043,Tapada da Ajuda,Tapada da Ajuda,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,ISA; CML/DMAEVCE,Alcântara,1063.49,1.06349
148684,0142,Rua Engº Ferreira Dias,Rua Pardal Monteiro-Rua Eng.º Ferreira Dias,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Marvila,20.91,0.02091
148689,0476,Caminho das Andorinhas,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,231.82,0.23182
148692,0124,Volta do Planalto,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,23.5,0.0235
148694,0189,Rua Roald Amundsen,Fundo Ambiental - Lisboa/Loures (Sacavém),Principal,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Parque das Nações,98.31,0.09831
148696,0114,Rotunda à Avenida de Pádua,Avenida de Pádua-Rua António Mega Ferreira,Complementar,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2022,CML,Parque das Nações,8.67,0.00867
148705,0520,Passeio do Adamastor,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,76.37,0.07637
148707,0065,Avenida Manuel da Maia,Avenida Manuel da Maia,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2020,CML/DMM,Areeiro,430.24,0.43024
148710,0176,Praça do Tejo,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,73.61,0.07361
148711,0196,Passeio das Tágides,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,591.47,0.59147
148717,0048,Avenida dos Combatentes,Avenida dos Combatentes,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,CML/DMM,São Domingos de Benfica,169.04,0.16904
148718,0283,Corredor do Vale de Alcântara,Corredor Estruturante do Vale de Alcântara - Unidade de Projeto Bairro da Liberdade,Complementar,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2019,CML/DMAEVCE,Campolide,635.58,0.63558
148722,0299,Corredor do Vale de Alcântara,Corredor Estruturante do Vale de Alcântara - Unidade de Projeto Quinta da Bela Flor,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2019,CML/DMAEVCE,Campolide,238.51,0.23851
148731,0668,Rua Latino Coelho,Rua Latino Coelho e Rua Doutor António Cândido,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML,Avenidas Novas,381.29,0.38129
148753,0164,Alameda da Encarnação,Zona 30 - Bairro da Encarnação,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,361.82,0.36182
